,Open,High,Low,Close,Volume,rsi14,rsi20,sma20,sma30,sma50,Date,previous_rsi,next_rsi,rsi_touch_point,rsi_sell,rsi_buy
2014-03-19 18:00:00,1.39087,1.39136,1.3907100000000001,1.39097,2329.76001083851,44.20210929097621,44.387338892230744,1.391488500000001,1.391569333333338,1.3917902,735311.75,43.14415864831263,43.98177213857683,0,0,0
2014-03-19 18:15:00,1.39096,1.39115,1.3907200000000002,1.39095,1812.15001237392,43.98177213857683,44.230352355236725,1.391419000000001,1.3915536666666712,1.3917662000000002,735311.7604166666,44.20210929097621,51.18772135768881,0,0,0
2014-03-19 18:30:00,1.39095,1.39163,1.3908399999999999,1.3915,1334.08000802994,51.18772135768881,49.40974956159285,1.391371500000001,1.391554333333338,1.3917508,735311.7708333334,43.98177213857683,52.61978429479923,0,0,0
2014-03-19 18:45:00,1.39149,1.39163,1.39136,1.39162,1384.00000548363,52.61978429479923,50.466268567299174,1.391325000000001,1.3915540000000048,1.3917374,735311.78125,51.18772135768881,54.18783683979763,0,0,0
2014-03-19 19:00:00,1.39163,1.39195,1.39154,1.39175,1225.3400080203999,54.18783683979763,51.618470448127,1.3912990000000012,1.3915753333333383,1.3917308000000004,735311.7916666666,52.61978429479923,54.18783683979763,0,0,0
2014-03-19 19:15:00,1.39175,1.39181,1.39126,1.39175,1566.6500107049899,54.18783683979763,51.618470448127,1.391260500000001,1.3916063333333384,1.3917266000000004,735311.8020833334,54.18783683979763,53.39952689353492,0,0,0
2014-03-19 19:30:00,1.39174,1.3920299999999999,1.39144,1.3917,1573.20000970364,53.39952689353492,51.11179702261547,1.3912285000000009,1.391608000000005,1.3917232000000004,735311.8125,54.18783683979763,51.00239621226519,0,0,0
2014-03-19 19:45:00,1.3917,1.39242,1.39149,1.39155,2053.4700128808604,51.00239621226519,49.575113749595815,1.391219500000001,1.3916033333333386,1.3917166000000003,735311.8229166666,53.39952689353492,17.676020444514723,0,0,0
2014-03-19 20:00:00,1.39155,1.39192,1.38487,1.3857,11311.8000123948,17.676020444514723,22.188674358609678,1.390947500000001,1.3913876666666718,1.3915974000000002,735311.8333333334,51.00239621226519,17.445189147859633,0,0,0
2014-03-19 20:15:00,1.3857,1.3866100000000001,1.38431,1.3855899999999999,5528.55002915859,17.445189147859633,21.948684132610644,1.3906520000000009,1.3911483333333385,1.3914726000000002,735311.84375,17.676020444514723,15.698992215671979,0,0,0
2014-03-19 20:30:00,1.38557,1.3856899999999999,1.3840299999999999,1.3847200000000002,6984.43003082275,15.698992215671979,20.135554888893733,1.3902915000000011,1.390886666666672,1.3913260000000003,735311.8541666666,17.445189147859633,12.68201258754379,0,0,0
2014-03-19 20:45:00,1.3847399999999999,1.3848799999999999,1.38263,1.3828,5172.0300219059,12.68201258754379,16.89363830191851,1.3898455000000012,1.3905686666666723,1.3911360000000002,735311.8645833334,15.698992215671979,11.240211046923203,0,0,0
2014-03-19 21:00:00,1.3828,1.3832,1.38097,1.38161,6092.18002939224,11.240211046923203,15.287788148867204,1.389385500000001,1.3902073333333391,1.3909162000000002,735311.875,12.68201258754379,17.044001641553557,0,0,0
2014-03-19 21:15:00,1.38162,1.38252,1.3816,1.38229,3345.1800174713103,17.044001641553557,19.869402724978997,1.388982000000001,1.389865333333339,1.3907133999999999,735311.8854166666,11.240211046923203,25.457936631902417,0,0,0
2014-03-19 21:30:00,1.3823,1.3834799999999998,1.38227,1.3833799999999998,2726.35000991821,25.457936631902417,26.570374993959884,1.388632500000001,1.3895690000000056,1.390531,735311.8958333334,17.044001641553557,24.64301231485304,0,0,0
2014-03-19 21:45:00,1.3833799999999998,1.38352,1.3827,1.38305,1837.1400126218803,24.64301231485304,25.88064614358241,1.388231000000001,1.389253333333339,1.3903451999999998,735311.90625,25.457936631902417,23.9184174387639,0,0,0
2014-03-19 22:00:00,1.38305,1.38305,1.38265,1.38276,1135.85000491142,23.9184174387639,25.27375481902128,1.387830500000001,1.3889340000000057,1.3901552000000001,735311.9166666666,24.64301231485304,26.564527966844313,0,0,0
2014-03-19 22:15:00,1.38276,1.38313,1.38276,1.38309,747.550004601479,26.564527966844313,27.315355591146734,1.3874410000000013,1.3886460000000056,1.3899712,735311.9270833334,23.9184174387639,26.03267631782095,0,0,0
2014-03-19 22:30:00,1.3830799999999999,1.38333,1.3827200000000002,1.38291,900.070007205009,26.03267631782095,26.893484566523597,1.3870290000000012,1.3883716666666723,1.3897804,735311.9375,26.564527966844313,28.76325460837198,0,0,0
2014-03-19 22:45:00,1.38291,1.38331,1.3829,1.38323,1222.5300077199902,28.76325460837198,28.947051266014906,1.3866460000000012,1.3880960000000055,1.3896091999999998,735311.9479166666,26.03267631782095,27.499185028121765,0,0,0
2014-03-19 23:00:00,1.38324,1.38331,1.3827200000000002,1.38286,242.91000002622602,27.499185028121765,27.990109591261493,1.3862405000000013,1.3877936666666721,1.3894377999999998,735311.9583333334,28.76325460837198,27.18621184988405,0,0,0
2014-03-19 23:15:00,1.3829,1.3831,1.3826399999999999,1.38277,326.370000600815,27.18621184988405,27.755177509235494,1.3858315000000014,1.3874953333333389,1.3892647999999996,735311.96875,27.499185028121765,26.535733168788077,0,0,0
2014-03-19 23:30:00,1.38276,1.38295,1.38226,1.38259,740.0800034999851,26.535733168788077,27.273250768514835,1.3853860000000013,1.387221333333339,1.3890869999999995,735311.9791666666,27.18621184988405,23.3885137166662,0,0,0
2014-03-19 23:45:00,1.38259,1.38259,1.38135,1.38165,808.500004768372,23.3885137166662,24.89688258124886,1.3848875000000014,1.3869310000000055,1.3888873999999993,735311.9895833334,26.535733168788077,28.71583080152589,0,0,0
2014-03-20 00:00:00,1.3816700000000002,1.3824100000000001,1.3816700000000002,1.3822,796.1600031703709,28.71583080152589,28.721989875779418,1.3844100000000013,1.3866586666666723,1.3887091999999992,735312.0,23.3885137166662,28.40641459215989,0,0,0
2014-03-20 00:15:00,1.38219,1.38236,1.3821,1.38212,357.91000175476097,28.40641459215989,28.499745727453135,1.3839285000000014,1.3863600000000056,1.388535199999999,735312.0104166666,28.71583080152589,28.40641459215989,0,0,0
2014-03-20 00:30:00,1.38212,1.38224,1.38204,1.38212,305.94000017643,28.40641459215989,28.499745727453142,1.3834495000000016,1.3860716666666721,1.3883445999999993,735312.0208333334,28.40641459215989,29.831325401235066,0,0,0
2014-03-20 00:45:00,1.38211,1.38238,1.38198,1.38225,416.590003371239,29.831325401235066,29.482218683280692,1.3829845000000014,1.3857840000000052,1.3881557999999992,735312.03125,28.40641459215989,32.1795250625048,0,0,0
2014-03-20 01:00:00,1.38225,1.38249,1.38214,1.38246,432.42000293731695,32.1795250625048,31.092246744227676,1.3828225000000014,1.3854943333333385,1.387961599999999,735312.0416666666,29.831325401235066,31.90574861751877,1,0,1
2014-03-20 01:15:00,1.38246,1.38257,1.38226,1.3824100000000001,538.750004410744,31.90574861751877,30.91534342356619,1.3826635000000014,1.3852116666666718,1.3877543999999988,735312.0520833334,32.1795250625048,30.832277567017112,0,0,0
2014-03-20 01:30:00,1.3824,1.3825,1.38218,1.38222,566.520004868507,30.832277567017112,30.22741248218296,1.3825385000000012,1.384920000000005,1.3875473999999988,735312.0625,31.90574861751877,28.596401520856745,0,0,0
2014-03-20 01:45:00,1.38222,1.38242,1.38174,1.38181,648.680005073547,28.596401520856745,28.773079784141647,1.3824890000000014,1.3846153333333386,1.3873367999999988,735312.0729166666,30.832277567017112,33.76877180769483,0,0,0
2014-03-20 02:00:00,1.3818,1.3824,1.3816700000000002,1.38222,1212.19000899792,33.76877180769483,32.20650215873084,1.3825195000000015,1.3843060000000051,1.387132199999999,735312.0833333334,28.596401520856745,35.005423661508516,1,0,1
2014-03-20 02:15:00,1.38222,1.3824299999999998,1.38192,1.38232,733.2600039243699,35.005423661508516,33.03524895643132,1.3825210000000014,1.3839960000000049,1.386927599999999,735312.09375,33.76877180769483,33.20278923738214,0,0,0
2014-03-20 02:30:00,1.38232,1.38232,1.38179,1.38205,1310.5900044441198,33.20278923738214,31.92602601512611,1.3824545000000015,1.3836726666666717,1.3867231999999994,735312.1041666666,35.005423661508516,37.07986377354368,0,0,0
2014-03-20 02:45:00,1.38205,1.38265,1.38201,1.38235,1312.100004673,37.07986377354368,34.49835978749915,1.3824195000000015,1.3833593333333383,1.3865197999999992,735312.1145833334,33.20278923738214,36.84952745112866,0,0,0
2014-03-20 03:00:00,1.38236,1.38242,1.38215,1.38232,924.330007433891,36.84952745112866,34.361682287006126,1.3823975000000013,1.3830466666666716,1.3863193999999992,735312.125,37.07986377354368,40.93268951411245,0,0,0
2014-03-20 03:15:00,1.38231,1.38273,1.38216,1.38263,886.050003409386,40.93268951411245,37.07343114901022,1.3823745000000014,1.382749333333338,1.3861373999999995,735312.1354166666,36.84952745112866,42.23029640090055,0,0,0
2014-03-20 03:30:00,1.3826100000000001,1.3828,1.38238,1.38273,668.140001535416,42.23029640090055,37.94397505312927,1.3823655000000012,1.3826503333333382,1.3859691999999992,735312.1458333334,40.93268951411245,43.03885332841977,0,0,0
2014-03-20 03:45:00,1.3827200000000002,1.38284,1.38265,1.38279,723.200000405312,43.03885332841977,38.48148942913717,1.3823435000000013,1.382557000000005,1.3857949999999994,735312.15625,42.23029640090055,41.47595214556314,0,0,0
2014-03-20 04:00:00,1.3828,1.3828,1.3826100000000001,1.3826399999999999,772.3500020503999,41.47595214556314,37.62388662669151,1.382332500000001,1.3824876666666717,1.3856091999999993,735312.1666666666,43.03885332841977,39.815096058044794,0,0,0
2014-03-20 04:15:00,1.38263,1.3828,1.38245,1.38248,802.330002307892,39.815096058044794,36.70540709628088,1.382318000000001,1.3824770000000048,1.3854243999999991,735312.1770833334,41.47595214556314,41.24044547586141,0,0,0
2014-03-20 04:30:00,1.38248,1.3827,1.38248,1.38257,608.94000351429,41.24044547586141,37.60726633887456,1.3823170000000011,1.3825090000000049,1.385259599999999,735312.1875,39.815096058044794,49.41189677390154,0,0,0
2014-03-20 04:45:00,1.38258,1.38315,1.38258,1.38314,576.080001950264,49.41189677390154,43.01984836606651,1.382391500000001,1.3825373333333382,1.385115199999999,735312.1979166666,41.24044547586141,52.878526253421164,0,0,0
2014-03-20 05:00:00,1.38313,1.3834899999999999,1.38303,1.38342,956.780007123947,52.878526253421164,45.46607561200965,1.3824525000000012,1.3825386666666715,1.384976199999999,735312.2083333334,49.41189677390154,50.738858427438316,0,0,0
2014-03-20 05:15:00,1.38342,1.38352,1.38323,1.38326,893.710000991821,50.738858427438316,44.32154751135419,1.3825095000000012,1.3825456666666716,1.3848197999999992,735312.21875,52.878526253421164,49.393610031349155,0,0,0
