Date,Timestamp,Open,High,Low,Close,Volume
20141127,17:00:00,117.671,117.836,117.629,117.826,4164.08000230789
20141127,18:00:00,117.826,117.882,117.712,117.714,3768.84000241756
20141127,19:00:00,117.715,117.824,117.704,117.766,1521.92000198364
20141127,20:00:00,117.763,117.788,117.701,117.754,1053.35000002384
20141127,21:00:00,117.755,117.83,117.747,117.797,792.570000052452
20141127,22:00:00,117.799,117.801,117.683,117.711,1323.09000003338
20141127,23:00:00,117.709,117.772,117.689,117.696,1387.91000145674
20141128,00:00:00,117.701,117.987,117.697,117.875,2541.58000633121
20141128,01:00:00,117.875,117.959,117.833,117.875,4848.01000905037
20141128,02:00:00,117.876,118.242,117.857,118.234,7893.64002776146
20141128,03:00:00,118.235,118.275,118.133,118.158,5327.16001009941
20141128,04:00:00,118.158,118.23,118.132,118.23,3495.78000855446
20141128,05:00:00,118.232,118.332,118.19,118.3,3573.8100041151
20141128,06:00:00,118.302,118.337,118.273,118.286,3353.8100014925
20141128,07:00:00,118.285,118.296,118.196,118.21,2814.7500013113
20141128,08:00:00,118.211,118.231,118.075,118.12,3046.48000466824
20141128,09:00:00,118.122,118.249,118.082,118.234,3192.33000767231
20141128,10:00:00,118.234,118.256,118.13,118.145,3959.17000484467
20141128,11:00:00,118.144,118.215,118.088,118.139,3766.40000522137
20141128,12:00:00,118.142,118.205,118.099,118.204,4065.72000932693
20141128,13:00:00,118.204,118.28,118.165,118.235,3732.33000671864
20141128,14:00:00,118.236,118.305,118.188,118.265,3981.02001523972
20141128,15:00:00,118.267,118.445,118.243,118.433,5666.7000336647
20141128,16:00:00,118.435,118.489,118.375,118.483,5908.16003489494
20141128,17:00:00,118.482,118.697,118.425,118.688,6570.49003505707
20141128,18:00:00,118.685,118.746,118.651,118.709,6627.89003658295
20141128,19:00:00,118.708,118.764,118.664,118.717,4397.43001699448
20141128,20:00:00,118.71,118.731,118.595,118.671,1677.29000222683
20141128,21:00:00,118.67,118.769,118.653,118.751,1168.89000320435
20141128,22:00:00,118.752,118.772,118.658,118.66,1032.3600024581
20141128,23:00:00,118.659,118.72,118.536,118.576,1352.47000104189
20141201,00:00:00,118.738,118.897,118.715,118.843,2498.62998771667
20141201,01:00:00,118.842,118.925,118.755,118.858,3640.52000331879
20141201,02:00:00,118.85,118.95,118.8,118.912,6801.74000775814
20141201,03:00:00,118.911,119.027,118.83,118.856,6248.61000812054
20141201,04:00:00,118.857,118.962,118.789,118.89,4045.36000359058
20141201,05:00:00,118.889,118.946,118.848,118.937,3378.21999943256
20141201,06:00:00,118.937,118.939,118.848,118.881,2654.19000041485
20141201,07:00:00,118.881,118.905,118.824,118.891,3061.98000407219
20141201,08:00:00,118.891,118.948,118.848,118.862,2602.56000566483
20141201,09:00:00,118.863,118.905,118.549,118.736,6477.97001051903
20141201,10:00:00,118.734,119.144,118.197,118.442,12010.2800198793
20141201,11:00:00,118.443,118.457,118.073,118.321,8732.68002307415
20141201,12:00:00,118.32,118.485,118.251,118.474,5031.3300075531
20141201,13:00:00,118.474,118.528,118.401,118.469,4129.90000343323
20141201,14:00:00,118.47,118.517,118.34,118.368,4686.30000770092
20141201,15:00:00,118.368,118.434,118.212,118.287,6355.40001237392
20141201,16:00:00,118.287,118.291,117.873,117.928,9215.56002938747
20141201,17:00:00,117.924,118.331,117.86,118.312,10460.3600331247
20141201,18:00:00,118.312,118.377,118.139,118.147,6295.39002275467
20141201,19:00:00,118.148,118.245,118.033,118.236,4994.56001138687
20141201,20:00:00,118.236,118.304,118.146,118.293,3132.61000788212
20141201,21:00:00,118.295,118.314,118.23,118.275,2177.23000538349
20141201,22:00:00,118.276,118.371,118.273,118.321,2049.65001761913
20141201,23:00:00,118.324,118.409,118.303,118.391,1954.09000698477
20141202,00:00:00,118.391,118.393,118.262,118.269,1443.22000708431
20141202,01:00:00,118.272,118.353,118.252,118.318,2908.17001152039
20141202,02:00:00,118.319,118.39,118.222,118.356,4978.70001280308
20141202,03:00:00,118.356,118.467,118.316,118.4,4684.97003173828
20141202,04:00:00,118.401,118.49,118.374,118.445,2761.33001494408
20141202,05:00:00,118.446,118.5,118.4,118.409,3756.83000421524
20141202,06:00:00,118.409,118.471,118.342,118.459,3107.00002980232
20141202,07:00:00,118.459,118.514,118.442,118.445,2653.39002251625
20141202,08:00:00,118.445,118.595,118.38,118.577,3098.82002747059
20141202,09:00:00,118.576,118.829,118.573,118.82,5776.02005910873
20141202,10:00:00,118.819,118.929,118.754,118.785,8096.84005776048
20141202,11:00:00,118.786,118.955,118.772,118.931,5583.29004073143
20141202,12:00:00,118.932,119.002,118.829,118.838,5782.45004081726
20141202,13:00:00,118.839,118.993,118.838,118.963,4016.76001727581
20141202,14:00:00,118.963,119.213,118.879,119.171,8307.96003770828
20141202,15:00:00,119.17,119.277,119.105,119.105,8856.17003393173
20141202,16:00:00,119.105,119.284,119.039,119.249,8165.24003756046
20141202,17:00:00,119.25,119.285,119.087,119.124,8204.42004048824
20141202,18:00:00,119.124,119.194,119.091,119.103,5368.13002479076
20141202,19:00:00,119.103,119.252,119.082,119.221,3657.68000733852
20141202,20:00:00,119.223,119.262,119.153,119.244,1998.06000602245
20141202,21:00:00,119.243,119.249,119.2,119.24,1887.81000709534
20141202,22:00:00,119.24,119.283,119.188,119.234,2502.65000808239
20141202,23:00:00,119.234,119.261,119.197,119.211,1412.89000165462
20141203,00:00:00,119.208,119.271,119.202,119.219,1876.81000483036
20141203,01:00:00,119.219,119.253,119.158,119.19,3582.19999329746
20141203,02:00:00,119.19,119.338,119.136,119.281,5437.64000332356
20141203,03:00:00,119.28,119.437,119.275,119.334,7041.89000487328
20141203,04:00:00,119.334,119.402,119.317,119.389,3044.86000299454
20141203,05:00:00,119.387,119.395,119.324,119.351,3953.17000353336
20141203,06:00:00,119.351,119.371,119.153,119.226,4521.36000704765
20141203,07:00:00,119.226,119.246,119.128,119.201,4662.43000590801
20141203,08:00:00,119.2,119.343,119.17,119.272,3296.68000018597
20141203,09:00:00,119.275,119.342,119.185,119.23,4703.79000973701
20141203,10:00:00,119.228,119.375,119.211,119.266,7167.13002169132
20141203,11:00:00,119.265,119.437,119.256,119.415,5742.06000816822
20141203,12:00:00,119.414,119.477,119.35,119.365,4642.89001965523
20141203,13:00:00,119.367,119.469,119.357,119.446,3847.78001391888
20141203,14:00:00,119.447,119.454,119.385,119.388,3759.54000246525
20141203,15:00:00,119.388,119.42,119.24,119.364,7025.79000544548
20141203,16:00:00,119.363,119.734,119.306,119.675,7921.74000918865
20141203,17:00:00,119.675,119.77,119.631,119.641,8775.01001358032
20141203,18:00:00,119.636,119.823,119.601,119.823,6567.69001817703
20141203,19:00:00,119.823,119.842,119.748,119.817,3911.4400075227
20141203,20:00:00,119.817,119.848,119.773,119.842,2563.35000693798
20141203,21:00:00,119.84,119.864,119.768,119.822,2349.35000574589
20141203,22:00:00,119.822,119.858,119.771,119.803,2291.1700027585
20141203,23:00:00,119.804,119.841,119.772,119.79,1490.4700037837
20141204,00:00:00,119.79,119.842,119.752,119.832,2488.47999899834
20141204,01:00:00,119.831,119.881,119.795,119.863,2854.30000627041
20141204,02:00:00,119.861,119.9,119.744,119.845,4572.78999972343
20141204,03:00:00,119.844,119.858,119.751,119.819,4427.73000717163
20141204,04:00:00,119.819,119.933,119.809,119.912,3222.38000321388
20141204,05:00:00,119.913,119.939,119.89,119.915,2555.96999931335
20141204,06:00:00,119.915,119.949,119.89,119.897,2612.13000631332
20141204,07:00:00,119.895,119.927,119.84,119.899,2798.01000332832
20141204,08:00:00,119.899,119.924,119.855,119.913,2545.35000276566
20141204,09:00:00,119.913,119.975,119.849,119.898,4213.83999943733
20141204,10:00:00,119.898,119.943,119.826,119.901,5539.9500234127
20141204,11:00:00,119.901,119.981,119.874,119.925,4470.76002073288
20141204,12:00:00,119.925,119.959,119.896,119.932,3329.51001799107
20141204,13:00:00,119.93,119.953,119.913,119.93,3136.94000184536
20141204,14:00:00,119.929,119.962,119.907,119.921,4505.89001047611
20141204,15:00:00,119.921,119.95,119.657,119.73,11326.7300143242
20141204,16:00:00,119.73,120.161,119.672,119.775,14331.850040555
20141204,17:00:00,119.777,120.251,119.702,119.719,12603.1100336313
20141204,18:00:00,119.718,119.752,119.338,119.669,10502.7200199366
20141204,19:00:00,119.67,119.827,119.645,119.803,6124.8500020504
20141204,20:00:00,119.802,119.908,119.744,119.846,2975.1600009203
20141204,21:00:00,119.845,119.863,119.782,119.783,2168.25000274181
20141204,22:00:00,119.784,119.786,119.671,119.785,2468.84000039101
20141204,23:00:00,119.786,119.791,119.732,119.779,1427.55000162125
20141205,00:00:00,119.781,119.842,119.771,119.822,1667.35999524593
20141205,01:00:00,119.821,119.857,119.779,119.802,3230.81999695301
20141205,02:00:00,119.802,119.853,119.705,119.837,5216.38999068737
20141205,03:00:00,119.838,119.937,119.816,119.935,4157.25000345707
20141205,04:00:00,119.934,119.944,119.872,119.879,2589.96000158787
20141205,05:00:00,119.881,119.925,119.872,119.921,1322.12000131607
20141205,06:00:00,119.919,120.099,119.918,120.06,4967.87000060081
20141205,07:00:00,120.06,120.078,119.981,120.004,3321.61999607086
20141205,08:00:00,120.005,120.112,120.005,120.108,3050.42999649048
20141205,09:00:00,120.105,120.179,120.05,120.166,5008.76000142097
20141205,10:00:00,120.166,120.328,120.111,120.253,6626.44000411034
20141205,11:00:00,120.253,120.378,120.251,120.342,4605.55999910831
20141205,12:00:00,120.342,120.446,120.338,120.389,4576.51999747753
20141205,13:00:00,120.39,120.688,120.374,120.654,8436.0799908638
20141205,14:00:00,120.654,120.685,120.525,120.538,5011.71000237763
20141205,15:00:00,120.538,121.385,120.113,121.18,14753.0100190639
20141205,16:00:00,121.181,121.68,120.987,121.652,12014.7900184393
20141205,17:00:00,121.656,121.688,121.394,121.406,10680.5200184584
20141205,18:00:00,121.406,121.518,121.283,121.384,7629.12002635002
20141205,19:00:00,121.386,121.533,121.371,121.529,3727.32000541687
20141205,20:00:00,121.529,121.565,121.446,121.459,2259.07000374794
20141205,21:00:00,121.459,121.493,121.321,121.402,2798.05000603199
20141205,22:00:00,121.402,121.461,121.361,121.439,2339.55000597239
20141205,23:00:00,121.437,121.546,121.354,121.425,2361.03000358492
20141208,00:00:00,121.59,121.843,121.569,121.836,2897.51000142097
20141208,01:00:00,121.838,121.838,121.531,121.606,5390.92999386787
20141208,02:00:00,121.608,121.696,121.455,121.522,7300.3900039196
20141208,03:00:00,121.523,121.566,121.338,121.529,5831.68000388145
20141208,04:00:00,121.529,121.613,121.486,121.609,4171.07000601292
20141208,05:00:00,121.611,121.611,121.537,121.559,2909.26000583172
20141208,06:00:00,121.559,121.566,121.487,121.533,3548.14000892639
20141208,07:00:00,121.532,121.551,121.497,121.513,3851.60000228882
20141208,08:00:00,121.513,121.514,121.253,121.351,5066.25000374019
20141208,09:00:00,121.351,121.483,121.307,121.356,5092.90000033379
20141208,10:00:00,121.354,121.354,121.17,121.254,6673.49000418186
20141208,11:00:00,121.254,121.27,121.027,121.134,5633.84000277519
20141208,12:00:00,121.135,121.256,121.109,121.208,4241.94000339508
20141208,13:00:00,121.208,121.208,120.993,121.081,4824.73000204563
20141208,14:00:00,121.081,121.141,120.921,121.109,5499.94000732899
